상가유형,호선,역명,면적(제곱미터),계약시작일자,계약종료일자,월임대료,사업진행단계
개별(일반),7호선,남구로역,22.0,2023-03-03,2028-04-02,1700000.0,0
개별(일반),7호선,남구로역,43.0,2023-03-14,2028-04-13,1310000.0,0
임대진행,7호선,가산디지털단지역,31.71,,,,4
개별(일반),7호선,가산디지털단지역,34.0,2018-09-28,2023-10-27,7512000.0,0
네트워크,7호선,가산디지털단지역,69.0,2022-09-06,2028-01-04,975346.0,0
네트워크,7호선,가산디지털단지역,41.97,2018-11-27,2024-01-25,3747959.0,0
네트워크,7호선,가산디지털단지역,35.8,2020-02-13,2025-04-12,16485040.0,0
네트워크,7호선,철산역,36.61,2020-02-13,2025-04-12,12851410.0,0
복합,7호선,철산역,30.0,2016-05-02,2023-06-06,20050000.0,0
복합,7호선,철산역,18.0,2016-05-02,2023-06-06,,0
복합,7호선,철산역,63.0,2016-05-02,2023-06-06,,0
복합,7호선,철산역,71.0,2016-05-02,2023-06-06,,0
복합,7호선,철산역,42.0,2016-05-02,2023-06-06,,0
네트워크,7호선,광명사거리역,45.74,2021-02-25,2026-04-26,5844784.0,0
네트워크,7호선,광명사거리역,34.27,2020-02-13,2025-04-12,12292280.0,0
네트워크,7호선,광명사거리역,13.0,2022-08-30,2028-01-27,1204446.0,0
네트워크,7호선,광명사거리역,37.17,2020-12-23,2026-03-23,3849143.0,0
네트워크,7호선,광명사거리역,37.0,2022-09-07,2028-02-04,3131488.0,0
네트워크,7호선,광명사거리역,40.0,2022-10-21,2028-02-18,3897086.0,0
네트워크,7호선,광명사거리역,40.0,2022-12-02,2028-04-01,3079874.0,0
네트워크,7호선,광명사거리역,41.0,2022-12-16,2028-04-15,2708482.0,0
네트워크,7호선,천왕역,36.93,2020-02-13,2025-04-12,6160440.0,0
개별(일반),7호선,천왕역,900.39,2016-09-12,2027-03-10,1313400.0,0
개별(일반),7호선,온수역,13.5,2021-03-19,2026-04-18,2040000.0,0
개별(일반),7호선,온수역,23.1,2018-10-23,2023-11-21,3200000.0,0
네트워크,7호선,온수역,29.81,2020-02-13,2025-04-12,6966960.0,0
개별(일반),7호선,온수역,41.0,2023-03-10,2028-04-09,2019300.0,0
개별(일반),7호선,온수역,35.0,2021-12-21,2027-01-20,795000.0,0
임대진행,8호선,암사역,36.54,,,,3
네트워크,8호선,암사역,24.0,2018-05-12,2023-07-10,1853755.0,0
네트워크,8호선,암사역,35.0,2022-02-03,2027-05-04,10014441.0,0
개별(일반),8호선,암사역,27.37,2020-12-31,2026-01-30,2150000.0,0
네트워크,8호선,암사역,46.46,2022-09-07,2028-02-04,2908701.0,0
네트워크,8호선,강동구청역,30.0,2022-02-03,2027-05-04,6354679.0,0
개별(일반),8호선,강동구청역,36.96,2022-08-29,2027-09-28,1833000.0,0
개별(일반),8호선,강동구청역,37.45,2022-10-31,2027-11-30,2240000.0,0
개별(일반),8호선,강동구청역,46.69,2020-06-10,2025-07-10,2500000.0,0
네트워크,8호선,몽촌토성역,36.0,2022-02-03,2027-05-04,5389832.0,0
복합,8호선,잠실역,191.0,2022-10-08,2026-04-10,157003070.0,0
복합,8호선,잠실역,118.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,16.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,225.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,52.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,708.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,40.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,48.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,24.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,144.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,24.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,48.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,14.23,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,26.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,56.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,56.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,56.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,45.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,48.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,20.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,20.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,20.0,2022-10-08,2026-04-10,,0
개별(일반),8호선,잠실역,28.6,2022-12-14,2028-01-13,8200000.0,0
복합,8호선,잠실역,29.0,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,13.5,2022-10-08,2026-04-10,,0
복합,8호선,잠실역,9.36,2022-10-08,2026-04-10,,0
개별(일반),8호선,석촌역,30.0,2022-02-05,2027-03-04,2500000.0,0
네트워크,8호선,석촌역,38.0,2022-02-03,2027-05-04,7290691.0,0
개별(일반),8호선,송파역,17.87,,,,0
네트워크,8호선,송파역,32.2,2022-02-03,2027-05-04,3999566.0,0
임대진행,8호선,가락시장역,30.44,,,,3
네트워크,8호선,가락시장역,33.0,2022-02-03,2027-05-04,5233461.0,0
개별(일반),8호선,가락시장역,52.16,2019-04-09,2024-05-08,4099800.0,0
개별(일반),8호선,가락시장역,19.84,2020-02-11,2025-03-11,1012000.0,0
개별(일반),8호선,가락시장역,24.61,2019-12-18,2025-01-16,2186000.0,0
네트워크,8호선,문정역,30.0,2022-02-03,2027-05-04,3992468.0,0
네트워크,8호선,장지역,35.2,2022-02-03,2027-05-04,8275943.0,0
임대진행,8호선,장지역,38.82,,,,3
개별(일반),8호선,장지역,12.85,2020-08-03,2025-09-02,2500000.0,0
공실,8호선,장지역,251.23,,,,2
네트워크,8호선,복정역,50.0,2022-02-03,2027-05-04,6487761.0,0
네트워크,8호선,산성역,30.0,2022-02-03,2027-05-04,4358445.0,0
개별(일반),8호선,남한산성입구역,34.32,2021-05-13,2026-06-12,2300000.0,0
네트워크,8호선,남한산성입구역,36.0,2022-02-03,2027-05-04,8863280.0,0
개별(일반),8호선,남한산성입구역,22.09,2019-12-10,2025-01-08,1590000.0,0
네트워크,8호선,남한산성입구역,54.76,2022-05-02,2027-07-31,2155500.0,0
네트워크,8호선,남한산성입구역,34.18,2018-05-09,2023-07-07,1977511.0,0
개별(일반),8호선,남한산성입구역,17.0,2022-04-28,2027-05-28,1200000.0,0
개별(일반),8호선,단대오거리역,36.78,2021-01-21,2026-02-20,1700000.0,0
네트워크,8호선,단대오거리역,32.5,2022-02-03,2027-05-04,6235459.0,0
개별(일반),8호선,단대오거리역,54.03,2018-08-31,2023-09-29,7630000.0,0
개별(일반),8호선,단대오거리역,75.09,2021-03-18,2026-04-17,3780000.0,0
네트워크,8호선,신흥역,40.0,2022-02-03,2027-05-04,4391715.0,0
네트워크,8호선,수진역,40.0,2022-02-03,2027-05-04,4036829.0,0
네트워크,8호선,모란역,50.0,2022-02-03,2027-05-04,3770665.0,0
