,역명,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분
177,올림픽공원역,11.75,9.45,13.02,16.52,21.15,22.78,27.1,23.78,29.02,27.35,25.0,29.15,29.58,32.8,37.35,33.62,30.02,30.95,33.42,32.8,35.92,36.6,39.12,31.15,33.25,29.32,25.52,21.05,26.25,46.2,29.9,39.47,23.9,18.05,17.5,9.35
178,왕십리역,12.7,9.57,12.22,13.7,21.25,21.7,24.22,27.08,27.82,28.65,35.95,38.12,41.7,44.8,41.05,41.28,39.67,44.7,48.95,54.62,44.6,49.1,48.6,41.98,44.38,39.6,38.3,31.92,29.48,29.18,31.88,31.22,30.15,27.25,24.92,18.4
179,용답역,5.28,4.9,5.48,4.62,7.58,10.38,9.25,11.45,10.82,12.32,12.38,14.0,14.78,17.05,16.9,15.48,15.58,14.68,14.5,15.15,16.4,15.65,17.8,14.82,14.82,10.18,8.62,8.75,6.88,7.38,7.02,7.65,7.63,7.22,5.08,2.68
180,용두역,4.08,3.9,4.38,4.32,6.88,8.12,8.07,9.38,9.5,10.28,10.1,12.4,12.3,14.1,15.2,14.0,12.5,12.68,12.55,13.12,14.32,13.38,15.82,13.27,12.95,9.32,7.7,6.72,5.95,6.18,5.85,6.55,6.55,6.15,4.38,2.38
181,용마산역,26.05,21.6,23.3,27.85,35.33,39.9,46.62,42.2,41.88,39.17,39.28,42.8,40.4,42.75,44.52,43.42,42.38,42.08,41.95,47.95,47.28,53.75,54.75,49.42,46.03,43.05,36.58,32.05,31.87,33.55,36.17,32.6,31.48,27.05,26.22,18.88
182,우장산역,8.72,6.95,7.05,8.85,11.65,13.95,15.8,17.1,15.62,17.6,17.92,19.58,20.03,21.38,21.92,20.95,20.58,20.7,20.68,20.95,21.3,23.3,21.68,20.25,19.15,16.83,15.42,12.25,11.75,11.1,11.1,10.55,12.35,9.48,8.32,6.15
183,월곡역,7.82,8.27,9.62,12.08,17.2,19.78,21.28,21.02,21.32,20.95,20.72,22.22,23.6,24.55,26.02,26.17,24.45,23.4,22.52,22.88,25.05,24.48,25.7,24.38,22.92,22.6,16.83,15.25,14.68,14.85,16.23,16.55,13.85,13.15,13.38,10.73
184,월드컵경기장역,9.15,8.22,10.72,12.3,17.35,19.27,23.33,24.95,24.02,24.08,22.4,25.02,25.8,28.62,27.25,27.48,27.7,28.28,29.38,29.48,32.05,35.55,34.25,33.67,28.05,27.05,23.72,21.95,19.4,18.8,20.02,21.0,25.65,21.88,16.65,12.0
185,을지로3가역,10.02,8.6,9.48,11.8,18.17,22.28,24.85,30.1,28.75,30.5,32.15,36.3,37.83,43.32,40.15,41.7,41.82,40.88,44.2,50.62,44.42,53.92,48.92,46.8,46.08,41.38,40.8,33.17,33.08,34.55,34.3,35.18,37.32,33.35,39.7,19.73
186,을지로4가역,10.07,8.62,10.1,11.88,18.05,19.68,22.68,26.12,24.42,27.38,30.7,36.05,38.1,43.4,40.4,41.68,41.18,41.08,44.82,50.2,43.65,54.1,48.28,45.05,44.62,40.88,40.38,32.83,32.83,34.8,33.95,35.08,36.97,33.05,38.12,19.1
187,을지로입구역,9.85,8.48,9.1,11.28,17.75,18.2,20.78,23.72,22.6,26.2,30.3,33.7,38.1,45.9,37.08,41.8,43.12,41.08,44.25,52.2,43.47,55.5,50.35,49.45,47.45,45.38,44.18,36.58,37.12,40.33,37.02,38.65,39.62,36.08,41.5,22.67
188,응암역,7.32,7.25,9.18,11.52,15.12,16.88,20.82,20.1,25.7,21.4,19.95,19.95,21.6,23.92,22.45,22.25,20.27,25.82,21.28,21.88,23.02,25.12,23.22,23.12,20.47,15.58,17.98,13.75,12.48,12.05,12.38,12.35,16.02,13.68,9.07,6.6
189,이대역,10.07,8.92,9.38,11.6,17.08,18.88,22.52,24.45,26.38,29.12,31.28,35.33,45.0,47.62,39.07,44.88,46.47,39.22,44.18,52.25,46.2,51.8,50.3,54.28,41.95,44.22,41.82,35.22,36.88,34.4,39.82,37.38,41.45,37.45,35.58,22.58
190,이촌역,10.92,7.62,8.2,11.48,16.77,18.52,24.65,26.85,26.95,28.65,32.88,30.18,27.9,29.12,29.12,28.4,28.28,26.62,30.18,30.82,32.05,33.22,33.83,35.52,35.4,34.42,27.3,24.15,23.0,22.8,24.35,21.9,20.1,20.48,20.5,17.23
191,이태원역,8.35,6.92,8.2,9.23,12.48,14.6,17.32,18.68,19.58,21.12,21.95,23.65,24.02,27.65,27.12,29.28,26.72,27.35,28.42,31.32,32.33,34.4,33.02,32.55,29.05,26.65,22.02,20.72,21.48,18.9,24.55,21.75,21.62,19.27,19.12,8.12
192,일원역,5.98,4.05,4.15,4.85,6.82,8.35,9.12,10.65,10.12,10.4,9.78,10.88,11.28,11.1,12.75,10.72,9.8,10.38,11.2,12.42,14.0,12.08,13.25,13.22,11.8,9.72,8.5,6.8,7.88,6.8,7.78,6.7,6.15,7.87,4.53,4.6
193,잠실나루역,8.95,7.1,8.9,11.0,16.48,17.62,19.65,22.32,23.38,24.4,26.0,31.0,29.42,34.15,32.38,32.83,32.48,32.35,35.15,41.58,36.0,40.62,41.98,35.12,34.95,34.28,32.25,26.35,24.28,30.0,27.9,26.85,25.3,20.65,19.08,16.82
194,잠실새내역,10.45,8.57,10.05,11.38,16.65,18.95,24.0,24.1,25.35,26.52,26.75,32.8,32.08,35.02,34.25,35.62,34.4,33.65,37.02,40.95,39.08,44.35,39.8,37.3,36.12,32.8,31.08,25.92,25.7,31.45,28.05,29.38,30.32,21.38,18.92,13.18
195,잠실역,15.05,11.92,15.0,14.1,21.02,22.48,27.02,28.75,28.92,28.35,27.5,30.35,30.2,37.17,35.47,38.62,35.6,42.2,40.58,47.5,48.47,49.28,55.28,49.38,51.0,45.5,45.4,36.42,37.02,42.97,41.75,41.78,44.05,30.88,25.28,19.15
196,잠원역,11.25,10.22,8.82,11.88,15.55,23.72,25.82,28.7,26.65,31.35,35.42,35.55,34.28,37.6,37.5,38.15,37.3,38.55,40.05,40.62,42.95,47.72,43.88,44.9,41.62,33.45,30.1,24.67,27.12,29.0,27.07,24.52,24.52,18.92,14.72,8.85
197,장승배기역,17.55,14.55,14.25,17.12,22.45,24.6,29.75,28.8,26.32,26.8,28.35,28.18,29.52,30.67,31.02,28.78,29.42,30.88,28.8,31.42,33.6,38.05,33.3,32.75,29.68,26.88,23.52,21.8,21.17,21.8,23.78,23.08,19.82,19.48,17.73,10.07
198,장암역,0.25,0.5,0.65,1.25,0.95,0.9,0.85,0.95,0.85,0.75,0.85,0.77,0.62,0.72,0.92,1.0,1.0,1.2,1.3,1.45,1.52,1.68,1.5,1.15,1.02,0.8,0.75,0.57,0.48,0.32,0.38,0.32,0.08,0.12,0.08,0.02
199,장지역,13.55,11.75,12.88,16.0,22.75,25.4,30.65,29.88,30.82,30.8,32.52,31.9,34.42,38.83,36.5,35.67,34.17,37.17,38.52,39.62,44.15,43.55,43.53,40.85,37.0,33.38,30.2,26.52,25.55,27.1,33.28,27.78,27.98,21.2,17.27,11.98
200,장한평역,14.85,11.38,14.0,17.8,21.32,24.25,29.92,30.08,31.6,33.58,33.9,34.8,38.02,40.03,40.15,38.35,38.67,39.78,40.88,43.5,44.95,47.52,46.53,43.62,38.05,33.6,29.83,25.12,23.42,30.62,28.7,27.55,24.88,23.35,17.25,16.67
201,제기동역,11.2,7.52,9.6,10.68,16.1,16.83,17.48,19.65,22.28,21.8,19.45,22.68,27.2,32.95,27.9,28.28,28.1,31.75,29.98,30.4,24.17,29.95,34.67,27.1,25.5,21.18,17.62,17.92,19.95,13.6,15.1,15.75,16.32,15.02,9.25,10.22
202,종각역,8.25,8.93,8.55,9.3,13.15,14.9,17.92,21.98,24.9,24.25,24.05,28.4,32.82,33.45,36.98,33.6,35.75,37.67,39.45,37.42,31.95,36.7,37.17,36.15,33.4,27.2,25.3,24.15,22.78,19.75,22.17,21.72,19.42,16.85,14.5,12.18
