"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202307","1호선","동대문","710","31","11581","2095","9027","6829","14177","12431","19144","21167","18955","22124","17637","23107","19476","25426","22955","24173","24357","21794","24460","21115","25017","20512","26019","19965","25211","20199","23215","20859","16780","19861","14778","14661","13516","13461","10463","11892","4882","8930","511","2412","0","216","0","0","0","0","20230803"
"202307","1호선","동묘앞","221","2","3012","1090","3682","5042","7336","9307","11935","19863","11015","17438","13121","20480","18079","24848","23374","26187","25271","28182","26218","24804","28237","21985","27309","18412","26582","14759","20228","12003","10420","8417","6602","6186","5456","6066","3485","6768","1318","4195","104","1649","0","272","0","0","0","0","20230803"
"202307","1호선","서울역","577","37","8434","9396","13088","51243","40143","112516","68646","230994","60689","157734","61773","80647","75079","73187","90755","84827","92212","80928","76519","71777","96047","76293","116856","79701","178571","90173","224741","94470","112903","63360","84706","45820","80905","40565","58418","27191","25315","13987","2297","2598","1","219","0","0","0","0","20230803"
"202307","1호선","시청","49","5","2381","4825","3784","22736","7558","72219","9815","194213","13601","88908","16109","41575","22238","38959","23528","39532","27859","38511","35692","30596","46144","27919","54825","26420","93810","28296","162535","26273","62113","13906","53303","9165","48579","8864","29859","6916","9801","4285","287","1085","0","12","0","0","0","0","20230803"
"202307","1호선","신설동","392","35","8967","2356","9520","8509","21822","23821","30833","55625","20251","33722","18161","21149","20280","17877","21990","18015","23218","18321","21789","17615","22767","18780","28245","21127","39286","23006","50993","30519","21226","22246","14620","14619","13461","14726","8778","13054","3576","9505","317","2244","0","0","0","0","0","0","20230803"
"202307","1호선","제기동","376","3","5278","2307","9181","9567","22913","21317","32617","39071","24765","35156","27236","36821","31532","39985","34636","42291","35690","42688","37628","38480","42293","33473","44104","31682","42831","27436","39355","28306","21239","18919","13542","12230","9164","11365","5705","9923","2104","6423","107","1240","0","0","0","0","0","0","20230803"
"202307","1호선","종각","108","3","3998","5425","4429","29059","6796","113651","10436","272280","13040","156702","19194","65618","29380","58533","36075","52647","44315","56513","53631","48136","66420","40582","79708","42804","157278","47688","227670","50856","96938","26452","84120","12661","89802","9357","64170","6538","27370","4456","982","927","0","1","0","0","0","0","20230803"
"202307","1호선","종로3가","170","3","4576","3215","4005","13121","5385","26667","9330","71227","13993","71419","21814","58384","33190","64370","43889","63711","48444","61333","52704","50629","62155","42179","69478","39042","82536","38007","97590","39386","55841","20693","47416","11274","50991","9074","39395","7517","16784","4813","1209","1932","2","19","0","0","0","0","20230803"
"202307","1호선","종로5가","63","1","2049","3610","3307","15768","6196","42482","10135","100255","15145","63860","25069","58317","37440","60379","46199","56677","52859","53062","57996","47654","63249","41172","65024","38883","86591","37111","99648","34331","49294","20450","36081","11176","34480","8236","20988","5806","6575","3523","262","906","0","0","0","0","0","0","20230803"
"202307","1호선","청량리(서울시립대입구)","993","28","11050","3389","16475","15834","40500","17965","49822","36403","33242","34041","30835","36302","35301","39600","39001","39670","39646","41823","39649","41378","43368","41444","47945","40091","47791","41392","42618","49623","23772","33115","18459","20093","13698","18891","8240","16147","3344","10163","218","3558","0","0","0","0","0","0","20230803"
"202307","2호선","강남","120","14","9359","10930","18503","56268","40112","158200","64256","310621","52713","323007","54625","160385","73811","113515","93277","111546","111887","126205","121665","109743","146216","104917","175892","112652","261680","140772","327480","184929","215011","108728","172551","60848","196756","49365","177694","42415","80992","25952","13773","6609","3","47","0","0","0","0","20230803"
"202307","2호선","강변(동서울터미널)","27","1","8936","2251","28877","21987","78164","24402","117728","44028","82763","38028","65667","36964","57470","35717","53613","40088","49768","44207","43719","47595","46461","55764","50364","62828","56402","78744","61291","109618","43557","76697","32792","53334","27539","45308","19267","43488","7874","22661","1058","5412","1","39","0","0","0","0","20230803"
"202307","2호선","건대입구","290","1","16965","1813","22074","15573","53127","24771","91248","59867","61438","53350","38343","42061","36855","47374","43047","53865","47673","60015","47782","58024","52319","64399","61178","76144","72588","103292","85337","152624","64419","102725","65838","64480","72636","59203","74202","53956","45555","32576","7559","10526","3","862","0","0","0","0","20230803"
"202307","2호선","교대(법원.검찰청)","15","0","2693","6957","11535","25054","25250","59800","36820","156113","27461","138552","26698","66745","31267","57563","33997","51814","40987","54743","48930","48524","52260","45204","56820","47743","95521","61887","133358","73149","62654","42536","51239","25671","53658","23822","42819","22626","15754","12295","3171","3275","2","15","0","0","0","0","20230803"
"202307","2호선","구로디지털단지","369","39","38505","5472","53882","20639","144838","85469","184498","228086","112257","144248","68187","60868","60319","44375","66861","47122","65737","57170","59937","55567","64221","63461","78928","76826","134455","105328","210532","162156","101581","131967","65184","86469","55202","85494","41572","82754","18845","49546","3463","14233","6","308","0","0","0","0","20230803"
"202307","2호선","구의(광진구청)","46","1","14194","1538","27198","20036","68487","17041","115459","40477","71488","23953","37273","19384","31038","20344","32393","22934","31200","26286","28420","28144","28837","33956","38130","40780","39672","56915","44544","94917","23829","67091","18992","45176","17461","43600","15476","40799","8097","23657","1306","7171","1","138","0","0","0","0","20230803"
"202307","2호선","낙성대(강감찬)","34","1","11599","2452","27474","10329","85450","19280","128117","40447","82325","32288","45108","25720","38931","24203","41505","26005","40267","28613","34683","29857","35614","35623","40119","42199","45260","59319","50880","101728","28645","86284","22609","57618","21241","54084","16050","54584","8260","34073","1355","9300","0","309","0","0","0","0","20230803"
"202307","2호선","당산","30","0","6972","3064","17534","13640","45627","28713","56103","76092","33450","37236","22565","18113","21612","16437","22595","18702","22576","21062","19563","20314","21887","22753","25942","29488","41864","45379","57780","72263","25381","48305","20822","31901","20544","31392","17563","29113","8548","19248","1258","4543","2","171","1","1","0","0","20230803"
"202307","2호선","대림(구로구청)","744","50","31817","3352","30211","10969","67722","22874","91084","54199","61430","37392","39114","33131","33768","34068","35086","32304","34024","33170","31882","33349","33487","38871","36537","47042","43484","58067","52323","68651","28056","53229","20726","39529","16308","48894","11707","44628","5656","22496","775","5540","3","233","2","0","0","0","20230803"
"202307","2호선","도림천","3","0","405","377","1100","937","3229","3607","3743","5135","2215","2164","2203","1636","1856","1284","2545","1983","1752","1866","2307","1754","2240","1705","2762","2056","2967","2474","3541","3332","1710","2612","945","1614","864","1540","471","1291","223","890","30","245","0","10","0","0","0","0","20230803"
"202307","2호선","동대문역사문화공원(DDP)","244","3","4882","1389","4244","8871","7188","21861","12811","50929","14826","33474","16084","30899","20653","29556","23405","30376","23521","29771","28391","30438","31441","27986","37495","26293","45576","28491","47654","33587","29634","30817","23735","23411","23373","20947","20780","17320","10049","10720","2042","3307","0","146","0","0","0","0","20230803"
"202307","2호선","뚝섬","9","0","3385","2530","8300","16846","18244","40628","26049","136782","16997","93266","14608","40730","16190","33730","20452","35362","24711","37302","30043","32656","36636","33334","46851","34798","75169","40344","131399","48226","65155","28099","47245","15237","43002","13316","28178","11951","11024","7374","1704","2521","1","63","0","0","0","0","20230803"
"202307","2호선","문래","6","0","4340","2221","14619","11160","43593","37643","48978","128599","27489","63277","19728","25148","19685","22004","23763","25811","24076","26063","23817","22598","27117","24502","33709","29441","59875","39322","108009","59508","40546","40596","28044","22542","28507","20046","23357","17707","11518","10821","1834","3408","3","107","0","0","0","0","20230803"
"202307","2호선","방배","2","0","2665","2754","9379","12787","22737","27157","30796","68148","24650","43179","18395","23145","20090","18905","21482","20569","22997","21398","23136","20445","24647","21044","30167","22683","41712","28931","59657","36424","25636","25783","20383","17623","19971","15980","15590","16806","6399","9326","1123","2606","5","38","0","0","0","0","20230803"
"202307","2호선","봉천","63","1","15531","1747","30091","6659","83374","12215","120994","25699","74070","21957","41632","19433","33645","21110","35266","23418","34650","25668","29732","27558","28998","34887","30753","41707","31628","55125","33231","87618","20476","74445","17527","46426","14867","43343","11266","41521","4802","24459","904","8015","1","283","0","0","0","0","20230803"
"202307","2호선","사당","80","6","12937","4543","29062","33122","78198","44686","100656","66283","76024","47827","47851","42359","43827","52561","49813","52156","50902","51100","54639","50632","57852","60637","61952","79757","76776","118895","95204","171411","63294","117306","60421","71765","67986","66105","63728","64899","35213","39352","5837","11024","16","743","0","0","0","0","20230803"
"202307","2호선","삼성(무역센터)","134","0","4731","5235","6953","43107","14095","147855","19430","351273","21335","257765","26053","127049","39228","98278","52432","91344","67624","96939","85944","82148","110550","71499","146792","65894","246333","67304","332566","67050","167097","37050","134943","20154","113092","16231","71095","13126","19601","7367","2882","4411","0","1037","0","0","0","0","20230803"
"202307","2호선","상왕십리","39","0","6069","710","13966","6510","41647","13074","65379","31762","35917","19005","22698","13850","20215","13113","21799","15650","20567","16979","19294","17191","20109","19787","21675","23959","25831","34564","27202","54530","18729","36106","12097","23815","10552","22226","7599","21559","3081","13308","471","3987","2","29","0","0","0","0","20230803"
"202307","2호선","서울대입구(관악구청)","4939","24","28307","2753","44564","14902","130432","28181","174419","66748","119622","59966","70229","48361","61030","46956","66796","50945","70128","55095","60237","57504","63530","63860","71364","75743","81314","105179","88645","174864","52653","143145","45652","88989","46823","83674","41750","82665","21507","50995","3663","19415","0","2926","0","0","0","0","20230803"
"202307","2호선","서초","4","0","1898","4753","9556","22596","18820","52910","28827","113613","29143","91020","22400","42368","30338","34243","26747","25211","34232","26285","33470","24345","41143","20197","45623","22661","73051","25732","96046","27052","45310","18919","31907","11879","29314","11603","20173","11156","6408","6089","877","1497","2","13","0","0","0","0","20230803"
"202307","2호선","선릉","147","4","4987","6431","11730","45314","21383","126156","32954","283794","34057","227245","37180","107491","49021","66713","58861","64194","66717","69076","75313","55809","97428","49273","125060","48545","207965","54973","300713","59953","150314","36872","95246","23045","92475","21277","80317","18708","27789","11432","4146","4459","2","122","0","0","0","0","20230803"
"202307","2호선","성수","98","0","5720","3894","9478","31426","22647","74862","31551","259382","23602","153257","21067","73658","25081","61231","32412","64810","40428","68072","47676","65286","60326","63358","76044","63989","132633","68127","246887","74904","118245","44294","86096","22043","73656","17544","52556","15309","21722","11721","3102","5951","4","853","0","1","0","0","20230803"
"202307","2호선","시청","55","0","889","1869","2367","18454","5457","71772","9070","216745","12684","86265","18354","30887","26307","27729","25160","28201","30212","29762","35501","24587","42490","22784","51196","21273","107108","23891","169078","23892","59728","12541","45992","8462","42103","8874","25781","8017","10321","5128","1374","1655","3","73","0","0","0","0","20230803"
"202307","2호선","신답","22","0","1182","231","1785","635","6397","927","11303","1786","4640","1118","2528","1053","2034","1207","2003","1370","1929","1463","1730","1924","1808","2583","1972","3545","1992","4360","2090","9841","995","6548","656","3560","537","3707","523","3039","157","2025","31","570","0","2","0","0","0","0","20230803"
"202307","2호선","신당","23","0","6155","1259","11967","8944","29459","16267","47799","31065","28449","22343","19850","19035","18806","19657","22074","21514","22467","21898","21544","23083","22704","24745","26558","29516","30713","38128","33535","56487","22844","35645","18437","22740","17230","19903","15444","19123","7954","11872","1425","3443","0","58","0","0","0","0","20230803"
"202307","2호선","신대방","232","0","24084","2199","35873","9922","91049","16492","132198","25373","81180","19869","45435","18688","36523","19655","36143","22248","34593","25125","29794","27799","29166","38292","31887","44605","34584","61212","33361","92358","21000","81865","17194","56335","13128","59245","10524","55022","5081","32317","967","8717","1","178","0","0","0","0","20230803"
"202307","2호선","신도림","3869","20","35698","5146","53522","20968","138377","43908","143013","107556","87904","69722","60901","62462","58624","61318","66548","63027","68042","67846","69103","63442","74135","70588","82107","83981","101239","112713","122916","171785","71311","123668","64830","73592","65413","69991","45481","66613","22563","51043","2838","21104","11","2562","0","1","0","0","20230803"
