"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202305","1호선","동대문","900","25","12331","2188","9806","7379","14774","13998","20435","22506","19842","24103","18720","25631","20345","27669","24046","26474","25793","24529","27598","24164","27867","22423","27931","21611","26621","21276","24514","22067","18427","21782","16221","14909","14994","13765","11946","11492","5375","9301","555","2688","2","267","0","0","0","0","20230603"
"202305","1호선","동묘앞","211","2","3197","1140","3753","5206","7379","10573","11582","22916","10643","18105","11998","22700","18006","29074","25059","31046","28819","35926","31402","30957","34427","27254","35450","20790","32093","16257","23341","12254","12072","8518","7353","6198","5279","6354","4344","7042","1367","4201","88","1706","1","282","0","0","0","0","20230603"
"202305","1호선","서울역","708","37","8611","9912","13730","57527","43711","114851","74850","231336","65578","158131","65755","79625","79631","73733","94037","84112","92253","83301","73960","73359","102173","80765","118993","83590","172178","96236","221468","96309","119553","65443","84794","49116","85979","43530","58561","29390","25581","15133","2631","2693","0","228","0","0","0","0","20230603"
"202305","1호선","시청","90","3","2505","4754","4137","24662","8198","75913","10841","197338","13630","92068","16041","47494","22921","47282","25286","45380","31543","46158","40118","34764","53374","30536","62810","28727","95420","29184","161267","27054","64613","14185","57539","9360","51046","8940","32944","6666","10711","4344","354","933","0","25","0","0","0","0","20230603"
"202305","1호선","신설동","468","15","9034","2536","10317","8883","22069","25111","31629","56756","21778","33982","18070","22029","20861","19338","22469","18475","23606","19586","23157","18493","24536","20343","29899","21793","40557","24049","51406","31296","22176","22180","15549","15261","13344","15088","9529","13182","4099","9866","471","2168","1","1","0","0","0","0","20230603"
"202305","1호선","제기동","382","6","5429","2186","9309","9542","23391","20721","33205","40002","25470","35892","27702","39936","34770","45514","39436","47310","41294","49193","44381","44745","48186","39326","47055","34381","44741","29485","39484","28866","21809","19214","13957","13153","10281","12085","6337","10388","2476","6890","127","1462","0","0","0","0","0","0","20230603"
"202305","1호선","종각","148","1","4237","5175","4552","28499","7062","109138","11137","264356","13570","148969","19007","66680","29745","62919","36136","54426","45970","54166","57028","45237","69395","39902","80553","41341","146541","47807","218033","50554","96229","27495","85619","14187","93722","9743","66502","6779","29378","4491","968","806","0","0","0","0","0","0","20230603"
"202305","1호선","종로3가","243","15","4563","3249","4161","12767","5937","27207","10383","73267","16317","69791","22403","60642","32273","69073","45478","69386","51867","64805","61402","56474","70630","47427","76372","44400","86079","42864","102471","44094","62594","24341","55178","13419","58343","10222","44272","7830","20007","5374","1588","1996","1","18","0","0","0","0","20230603"
"202305","1호선","종로5가","72","3","2247","3983","3462","16937","6231","43680","10651","99647","15555","65220","24717","62649","38266","67010","48959","63942","57433","58980","65287","56178","69074","46611","71573","42864","90345","39529","101429","35412","54653","20721","40734","11357","37155","8495","22242","5859","7256","3516","256","900","1","1","0","0","0","0","20230603"
"202305","1호선","청량리(서울시립대입구)","983","27","11462","3741","16682","21287","39465","18860","48590","37783","33644","36399","31986","39759","36792","42422","41474","42878","43045","46261","43359","45865","47980","45404","55519","43408","51778","43940","44516","49883","25649","32636","19802","20265","16031","19483","9941","16403","3962","10053","220","3851","0","0","0","0","0","0","20230603"
