"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202308","1호선","동대문","546","25","10772","1896","8832","6226","13629","11392","18670","19064","18352","20857","17026","21645","18509","24668","22113","23560","23948","21206","24245","21065","23941","20054","25243","19899","24048","20155","22855","20604","16345","18898","13922","13887","12373","12762","9527","11158","4340","8425","542","2279","1","193","0","0","0","0","20230903"
"202308","1호선","동묘앞","171","9","2995","984","3744","4674","7309","8373","11323","17865","11015","16685","12959","20399","17030","25381","21825","26722","26452","27655","27182","25169","27631","22276","28251","18208","25548","14772","19891","11680","10327","7983","5911","5875","5048","6057","3384","6522","1219","4124","100","1645","0","242","0","0","0","0","20230903"
"202308","1호선","서울역","592","40","8366","9101","12963","51581","40859","114440","69472","229640","58290","157108","61910","79495","76177","71710","88586","82346","87980","79320","71315","69311","94470","74553","113293","76640","175164","88265","221869","93408","111954","62877","83387","44780","82263","38564","55930","25714","23704","12999","2364","2482","1","175","0","0","0","0","20230903"
"202308","1호선","시청","37","2","2332","4699","3968","24026","7858","73933","11030","194418","13988","87577","16718","41083","22390","39796","22930","37578","27754","37840","35278","31332","44660","29888","55695","27102","92710","27898","162073","26815","61869","14431","54338","9804","48070","8920","30212","6739","10102","4132","294","934","1","18","0","0","0","0","20230903"
"202308","1호선","신설동","396","33","9200","2357","9339","8152","21693","23161","30572","54943","20115","31547","18012","20444","19917","17696","21234","17775","22252","17698","20769","16797","21935","18704","27444","20642","38111","22938","49884","30209","20401","21757","13744","14822","11983","13836","8149","12200","3273","9042","300","1934","0","0","0","0","0","0","20230903"
"202308","1호선","제기동","299","4","5307","2329","9025","9351","22488","21676","32408","39605","24785","35232","27107","36487","31965","40332","35047","42734","34935","44855","37358","38213","42240","34630","46545","31357","44006","28104","39612","28675","20947","18440","13678","11698","8647","11127","5621","9263","2014","6225","111","1129","0","0","0","0","0","0","20230903"
"202308","1호선","종각","100","0","3918","5778","4331","28697","6706","115651","10667","273612","13345","153850","19756","63097","28919","60543","35229","51055","44751","52994","52853","44184","64900","38189","78063","40477","155947","45262","226325","49704","94944","25424","81786","12434","84969","9049","59684","6408","25328","4128","919","797","0","6","0","0","0","0","20230903"
"202308","1호선","종로3가","154","10","4074","2997","3954","13580","5456","26298","9370","67067","13824","66046","21334","54612","31498","62078","41656","59617","45993","57147","49916","48284","57399","39488","65409","36832","78565","35823","92716","37086","55176","19531","45617","10950","46959","8792","36042","6943","15172","4545","1028","1771","1","45","0","0","0","0","20230903"
"202308","1호선","종로5가","50","0","2067","3594","3353","15504","6294","42300","10516","98546","15338","63139","25492","57752","38085","60680","46757","54641","52879","50973","56473","46450","60711","40168","63874","38112","84674","35878","97162","33539","49088","19582","34565","11231","31127","7814","18175","5624","6026","3374","261","906","0","6","0","0","0","0","20230903"
"202308","1호선","청량리(서울시립대입구)","1067","29","11041","3206","17511","14840","42914","18491","50872","36890","33645","33870","32337","37019","36065","41617","39784","40717","40137","42054","39991","42438","43884","43627","49398","42600","48624","42487","43568","50775","24061","33202","18439","20224","13266","18986","8328","15690","3281","10020","190","3335","0","0","0","0","0","0","20230903"
