"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202301","3호선","신사","89","4","3927","1632","5720","16243","10001","40927","15845","94457","13488","130865","17001","66430","22587","46898","27686","45469","32116","48350","40113","46418","48268","42157","56503","44339","83011","52724","122917","65609","87009","34082","60603","15897","64166","12297","55570","9973","25362","6507","3744","2780","20","9","0","7","0","0","20230203"
"202301","3호선","안국","18","0","1377","1357","2509","17032","5222","68043","8927","101102","9342","66506","10866","49998","16826","57033","25395","51199","29921","49993","39603","45422","52036","37374","66619","31916","104864","27433","111372","23757","48433","11701","39842","6544","34920","5326","19939","4796","6445","2617","660","752","4","10","0","0","0","0","20230203"
"202301","3호선","압구정","106","7","2605","2118","7347","20701","13299","41977","21633","141108","17955","150086","23293","79215","30028","63713","36599","52090","40838","57656","49616","50606","58928","47167","69335","46764","93900","56588","134688","58735","92730","31568","73635","15528","56748","12330","39366","10212","12042","5804","1753","2031","4","189","0","7","0","0","20230203"
"202301","3호선","약수","118","1","6201","874","8821","5445","20931","11299","35560","29864","26508","19111","17583","13774","16532","13924","18866","14652","18992","15366","18560","17066","18631","18604","20530","21531","24144","26578","30813","39527","17101","26635","13532","17069","13876","15295","10595","14316","4709","8385","731","3063","15","454","0","0","0","0","20230203"
"202301","3호선","양재(서초구청)","83","2","4475","2639","11849","39137","28978","95743","41654","220318","29497","111946","27373","53866","30859","42681","34415","39047","40022","45173","43985","38844","51504","38029","64861","42851","115506","57655","183921","71493","82833","48631","60255","29380","53777","26285","38323","23247","13168","12200","1482","3257","4","52","0","0","0","0","20230203"
"202301","3호선","연신내","195","7","22437","1367","43934","9769","110977","14785","130300","29965","78528","30521","52366","30726","50471","33500","55322","37396","51535","42066","47896","44431","47971","53432","49951","61936","47741","75962","43344","123034","29615","107981","24612","60805","22556","54848","19511","48093","9289","31955","1383","10560","15","91","0","1","0","0","20230203"
"202301","3호선","오금","30","1","3568","5","7166","2327","22749","4917","28182","12515","14446","5439","8408","4748","7739","4225","8158","5318","7682","6104","6702","5824","6727","7591","7740","8823","10475","13195","11149","19261","4513","14234","3268","9785","2745","8563","2265","10076","652","5492","107","2065","1","18","0","0","0","0","20230203"
"202301","3호선","옥수","185","1","2685","826","8038","4197","19036","7009","28184","12642","19436","9616","14033","8005","12949","9273","13296","10573","13943","11989","13538","12911","13220","14774","14461","16638","16349","22844","15748","30826","9733","21978","7417","14911","6945","13363","4584","13121","2025","6690","322","1903","0","5","0","0","0","0","20230203"
"202301","3호선","을지로3가","21","0","534","847","921","8635","1907","31705","3460","79270","4848","30903","6911","15201","9052","13034","9901","12203","11510","12734","13808","11359","15838","11263","19381","12118","39446","14226","64920","16660","25439","9118","17786","4442","18484","3186","14334","2603","7592","1648","1010","489","7","19","0","0","0","0","20230203"
"202301","3호선","일원","5","0","1959","1487","7788","9428","19065","26260","22664","21192","16023","18117","16316","15143","17052","12022","17376","14416","15453","15696","16852","15229","20576","13030","25039","12439","34917","14559","17454","19218","9442","16393","5607","10261","3927","10519","3421","10856","1288","4866","133","1513","0","38","0","0","0","0","20230203"
