"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202302","1호선","동대문","741","5","10093","1940","8192","5672","11705","10216","16480","19398","15906","19686","15016","20502","15969","23875","19892","24722","22668","22701","24624","21513","25581","20078","26348","18784","24815","18295","22741","19029","15862","17684","13247","11999","12279","10335","9595","9899","4302","7802","462","2278","1","197","0","0","0","0","20230303"
"202302","1호선","동묘앞","191","6","2555","823","3137","4382","6186","6808","9822","14075","7785","14657","8867","18712","13324","27012","19205","30646","24732","33888","31613","32144","35052","26850","34913","18117","29162","12976","19730","10191","8458","7271","5209","5207","4405","5382","3519","5470","1360","3477","82","1372","0","303","0","0","0","0","20230303"
"202302","1호선","서울역","543","26","7202","7719","11072","45251","35896","97034","66013","211077","57146","142919","57504","73985","74479","67303","81531","76061","79480","75227","67535","67570","90100","74241","105815","75866","156895","88327","206509","91428","107347","63689","76674","44161","78852","36978","52229","25380","23492","12995","2267","2824","1","170","0","0","0","0","20230303"
"202302","1호선","시청","112","2","2179","3867","3307","20185","6670","64643","8493","186762","10256","82473","12755","38379","18481","39305","20123","36461","24815","35942","32522","32310","42777","29000","52961","26321","86342","26233","157030","24378","60313","12328","49946","7611","45664","6932","28972","5173","9628","3361","296","872","1","6","0","0","0","0","20230303"
"202302","1호선","신설동","341","14","7756","2156","8344","7298","18320","20089","27767","51768","17659","31901","15722","20524","17727","18032","19744","17954","21890","18468","22220","17659","23649","18319","27478","19636","36280","22332","49836","28657","19916","20282","13630","13712","11758","12527","8435","10813","3587","7842","345","1824","1","2","0","0","0","0","20230303"
"202302","1호선","제기동","335","1","4641","1601","7473","7520","19496","17290","29732","35220","21038","27918","21602","32807","28502","42110","35603","47969","39022","51161","43819","46522","49695","38836","48587","31199","42677","26155","38786","26438","19448","17966","12498","11807","8892","10769","5661","9141","2190","6351","148","1161","0","0","0","0","0","0","20230303"
"202302","1호선","종각","82","4","3078","4724","3733","24630","5417","101547","8981","256660","10967","140486","15736","60775","24374","61315","30699","55680","40587","52367","49979","43594","64651","39009","77911","40025","139537","45379","216150","49100","95000","24491","81194","11289","86633","7813","66982","5397","29476","3597","1071","624","0","0","0","0","0","0","20230303"
"202302","1호선","종로3가","157","11","3400","2688","3093","12022","4240","22667","7661","67109","12188","63434","17657","56045","27920","66935","39951","69531","48629","65185","57853","56107","68420","46175","75320","41476","84298","39293","98589","40169","59391","19739","46259","9738","49725","7350","37749","5769","15940","3903","1266","1564","0","26","0","0","0","0","20230303"
"202302","1호선","종로5가","34","0","1607","3331","2527","13196","4916","37213","8439","93272","11408","58164","18451","52829","29264","60002","39321","59856","48372","53698","57802","50191","62432","43012","64874","37992","83643","34426","98506","32079","51630","17336","35878","8519","32542","6157","20199","4793","6515","2599","285","712","0","0","0","0","0","0","20230303"
"202302","1호선","청량리(서울시립대입구)","804","8","9820","3331","13083","19875","33306","14290","42662","31336","26781","26019","25478","30809","30202","37485","35736","40094","38976","42411","41333","43606","46238","41968","53484","38045","47458","37508","39925","44625","21353","29906","16385","17377","12826","17100","7938","13937","3048","8373","218","3270","0","0","0","0","0","0","20230303"
